iter	RMSE
0	79154.57285
1	77477.01338
2	75893.36555
3	74419.48769
4	72832.16505
5	71301.31898
6	69826.84655
7	68391.47726
8	67055.12062
9	65637.78173
10	64279.4872
11	62946.76797
12	61770.40811
13	60425.11846
14	59277.28932
15	58136.80982
16	57014.95909
17	55946.8561
18	54813.17933
19	53804.42869
20	52784.99736
21	51780.52464
22	50916.75761
23	49934.79661
24	49010.37308
25	48132.31513
26	47279.68001
27	46401.77674
28	45606.3579
29	44862.33723
30	44067.3245
31	43410.6365
32	42609.1602
33	41953.76862
34	41423.63459
35	40708.23411
36	40039.83476
37	39357.60866
38	38856.59832
39	38237.31379
40	37589.71862
41	37057.27534
42	36468.43076
43	35973.41783
44	35514.47731
45	34915.54594
46	34437.30525
47	33940.96185
48	33471.43999
49	33018.7859
50	32506.88082
51	32070.1813
52	31614.54038
53	31318.20854
54	30859.53436
55	30472.38115
56	30204.37952
57	29825.25162
58	29386.38105
59	28990.16048
60	28637.46454
61	28264.71599
62	27876.07597
63	27505.0233
64	27175.55977
65	26858.92708
66	26497.82788
67	26111.61558
68	25779.24951
69	25410.13944
70	25127.44453
71	24855.02301
72	24569.57479
73	24281.70874
74	23995.13354
75	23745.61991
76	23485.11791
77	23209.31494
78	22977.44932
79	22718.07571
80	22448.24739
81	22222.03658
82	21942.74138
83	21712.85495
84	21533.38339
85	21313.2215
86	21123.75221
87	20895.69486
88	20685.60002
89	20484.84148
90	20346.21451
91	20153.97739
92	19964.48827
93	19734.44476
94	19563.66908
95	19379.95649
96	19232.20299
97	19122.68176
98	18974.33774
99	18814.05512
100	18690.09417
101	18553.65797
102	18384.43599
103	18215.36776
104	18046.18213
105	17923.6192
106	17752.5122
107	17613.89723
108	17475.33811
109	17364.43068
110	17248.0526
111	17091.80706
112	16949.98302
113	16799.10974
114	16684.46755
115	16536.95098
116	16445.01036
117	16302.49863
118	16214.11865
119	16108.96665
120	16057.33384
121	15953.9078
122	15834.51228
123	15696.65021
124	15605.76178
125	15543.51012
126	15443.29369
127	15320.5532
128	15239.61533
129	15114.61674
130	15037.19169
131	14931.14633
132	14865.91245
133	14748.55226
134	14633.06394
135	14547.69225
136	14451.92994
137	14334.86453
138	14275.3459
139	14195.82553
140	14128.642
141	14030.78172
142	13954.44917
143	13883.03176
144	13793.74197
145	13689.30312
146	13603.01014
147	13513.81529
148	13443.35946
149	13359.66326
150	13281.8053
151	13263.21222
152	13179.91973
153	13109.89991
154	13043.8024
155	12956.58024
156	12881.77176
157	12835.81177
158	12756.35839
159	12687.85234
160	12663.86279
161	12604.27244
162	12524.06709
163	12479.34018
164	12419.70092
165	12346.62
166	12295.46613
167	12259.91388
168	12178.17602
169	12104.47624
170	12021.20332
171	11940.27938
172	11867.91052
173	11830.32444
174	11776.07622
175	11702.43425
176	11613.90724
177	11541.95394
178	11482.91505
179	11434.97388
180	11373.34658
181	11339.59126
182	11319.96407
183	11264.25594
184	11195.84695
185	11153.4217
186	11095.40951
187	11021.17969
188	10991.70622
189	10928.97719
190	10895.23376
191	10851.56661
192	10814.53546
193	10765.51251
194	10693.35333
195	10686.10131
196	10628.96026
197	10579.6248
198	10543.6478
199	10501.83252
