iter	Passed	Remaining
0	17	10658
1	35	10585
2	54	10852
3	62	9306
4	82	9824
5	101	10028
6	122	10405
7	141	10484
8	158	10390
9	176	10439
10	194	10414
11	215	10540
12	235	10640
13	252	10557
14	270	10534
15	291	10625
16	311	10686
17	330	10686
18	351	10755
19	375	10875
20	399	11005
21	410	10783
22	431	10830
23	452	10856
24	479	11021
25	502	11085
26	530	11258
27	553	11307
28	576	11347
29	587	11153
30	610	11203
31	617	10963
32	639	10985
33	661	11015
34	666	10762
35	686	10757
36	707	10763
37	727	10756
38	732	10532
39	754	10566
40	775	10571
41	779	10359
42	801	10386
43	807	10206
44	829	10226
45	851	10251
46	869	10227
47	892	10264
48	913	10271
49	935	10294
50	958	10314
51	981	10343
52	1003	10355
53	1009	10204
54	1029	10204
55	1053	10234
56	1057	10071
57	1076	10063
58	1096	10055
59	1122	10100
60	1143	10104
61	1164	10102
62	1185	10108
63	1206	10104
64	1228	10112
65	1252	10136
66	1283	10211
67	1312	10271
68	1334	10266
69	1358	10286
70	1380	10286
71	1403	10290
72	1423	10277
73	1444	10265
74	1468	10280
75	1491	10284
76	1513	10282
77	1533	10264
78	1555	10256
79	1574	10231
80	1598	10245
81	1618	10224
82	1639	10211
83	1659	10195
84	1678	10172
85	1702	10176
86	1723	10160
87	1741	10134
88	1767	10146
89	1788	10134
90	1793	10033
91	1815	10022
92	1837	10018
93	1861	10020
94	1883	10013
95	1905	10004
96	1926	9988
97	1938	9930
98	1960	9922
99	1983	9917
100	2003	9898
101	2024	9885
102	2047	9878
103	2069	9870
104	2089	9849
105	2110	9834
106	2129	9810
107	2153	9811
108	2175	9800
109	2195	9779
110	2218	9774
111	2242	9769
112	2262	9751
113	2279	9717
114	2305	9724
115	2331	9727
116	2353	9714
117	2374	9698
118	2399	9700
119	2426	9707
120	2431	9625
121	2453	9612
122	2474	9596
123	2493	9569
124	2515	9560
125	2542	9566
126	2566	9559
127	2587	9543
128	2609	9527
129	2632	9518
130	2653	9501
131	2675	9487
132	2697	9470
133	2717	9451
134	2734	9418
135	2759	9416
136	2781	9399
137	2799	9372
138	2825	9371
139	2843	9344
140	2862	9318
141	2883	9299
142	2905	9283
143	2926	9266
144	2949	9256
145	2970	9236
146	2989	9211
147	3009	9191
148	3030	9174
149	3051	9153
150	3072	9135
151	3074	9061
152	3099	9055
153	3120	9037
154	3142	9022
155	3163	9004
156	3184	8986
157	3211	8984
158	3235	8973
159	3260	8965
160	3264	8902
161	3289	8893
162	3312	8881
163	3339	8878
164	3365	8871
165	3386	8855
166	3411	8844
167	3435	8834
168	3458	8819
169	3479	8800
170	3504	8791
171	3526	8776
172	3547	8756
173	3572	8746
174	3593	8728
175	3616	8712
176	3638	8695
177	3661	8681
178	3681	8657
179	3703	8640
180	3724	8622
181	3747	8607
182	3751	8549
183	3776	8538
184	3799	8524
185	3823	8509
186	3846	8495
187	3872	8485
188	3903	8489
189	3934	8491
190	3960	8481
191	3982	8463
192	4008	8454
193	4029	8433
