iter	RMSE
0	77873.44211
1	76268.11331
2	74843.07616
3	73394.35366
4	71993.81625
5	70653.1677
6	69324.41221
7	67951.56149
8	66707.72283
9	65435.59022
10	64256.68944
11	63185.45433
12	61987.29206
13	60900.8367
14	59738.93623
15	58684.63649
16	57801.72124
17	56807.17293
18	55861.12189
19	55025.92414
20	54138.66784
21	53336.21306
22	52426.23653
23	51684.42971
24	50872.4815
25	50077.07654
26	49394.44824
27	48650.86468
28	47890.31409
29	47217.39537
30	46490.1983
31	45835.32768
32	45241.40489
33	44682.60355
34	44155.52217
35	43579.59137
36	43034.79193
37	42488.64936
38	41956.60977
39	41405.56275
40	40868.49323
41	40342.97466
42	39907.89464
43	39436.4244
44	39051.0288
45	38519.45168
46	38089.60841
47	37702.95802
48	37294.94477
49	36912.49875
50	36572.3629
51	36148.45984
52	35817.06553
53	35443.17443
54	35045.92204
55	34701.37825
56	34386.81079
57	34051.56136
58	33739.34735
59	33479.38626
60	33107.0358
61	32848.0769
62	32556.8172
63	32267.51643
64	31895.03638
65	31605.07351
66	31302.2947
67	30984.32216
68	30703.0011
69	30492.11123
70	30233.39358
71	30010.34349
72	29815.29153
73	29522.93519
74	29314.66702
75	29076.1632
76	28837.97694
77	28621.81466
78	28392.27415
79	28191.3811
80	27977.60925
81	27779.54394
82	27597.566
83	27407.47878
84	27231.80992
85	27081.06635
86	26919.64875
87	26762.46158
88	26582.16557
89	26422.3061
90	26233.81516
91	26099.15454
92	25976.97576
93	25860.47029
94	25727.99952
95	25548.69182
96	25436.58145
97	25313.86337
98	25158.12777
99	25055.15902
100	24938.77225
101	24795.49943
102	24691.48937
103	24577.42132
104	24483.81029
105	24401.9561
106	24301.31705
107	24217.00981
108	24093.75266
109	23964.628
110	23843.52478
111	23740.87177
112	23647.60986
113	23520.70629
114	23430.34351
115	23345.02097
116	23263.87855
117	23196.84494
118	23126.9666
119	23046.55684
120	22976.83883
121	22895.72001
122	22822.97253
123	22744.21748
124	22633.65441
125	22552.02876
126	22480.80348
127	22411.03529
128	22326.14408
129	22232.9807
130	22161.18954
131	22087.72144
132	22006.69129
133	21940.57318
134	21890.64444
135	21850.05193
136	21753.88795
137	21679.09289
138	21624.7278
139	21569.75089
140	21486.97322
141	21415.04531
142	21338.39106
143	21247.53811
144	21147.79663
145	21077.08785
146	21037.58503
147	20961.58134
148	20914.31033
149	20853.97634
150	20805.09532
151	20748.6725
152	20700.77792
153	20616.88261
154	20560.78826
155	20493.55233
156	20427.97711
157	20368.97461
158	20340.66873
159	20294.84934
160	20247.6193
161	20205.89208
162	20159.73205
163	20068.07901
164	20026.44623
165	19994.28626
166	19946.26557
167	19898.46459
168	19874.15941
169	19822.06511
170	19773.52236
171	19740.09161
172	19681.85559
173	19636.10811
174	19573.84395
175	19549.9403
176	19513.27266
177	19454.4517
178	19425.58307
179	19392.01964
180	19358.98074
181	19301.57293
182	19260.75766
183	19230.21445
184	19181.65721
185	19135.46476
186	19108.08549
187	19068.88413
188	19034.01135
189	19009.47397
190	18972.20616
191	18933.14044
192	18895.70088
193	18857.51164
194	18828.3786
195	18802.92021
196	18754.58811
197	18715.95607
198	18696.31416
199	18664.52317
200	18634.76681
201	18605.12747
202	18564.68185
203	18526.50303
204	18493.70474
205	18464.11124
206	18418.54559
207	18382.97798
208	18362.37869
209	18341.64881
210	18307.74579
211	18279.73082
212	18241.82451
213	18215.30849
214	18190.15215
215	18156.54624
216	18111.73526
217	18054.34389
218	18032.11658
219	18015.08599
220	17984.01787
221	17963.1447
222	17931.34106
223	17903.13068
224	17879.55471
225	17863.04971
226	17836.39531
227	17811.45674
228	17799.49966
229	17771.90379
230	17734.46882
231	17701.76661
232	17673.60234
233	17657.91233
234	17626.10843
235	17595.15407
236	17566.3518
237	17540.20748
238	17515.19668
239	17490.57168
240	17469.77497
241	17439.09933
242	17421.06915
243	17388.87784
244	17370.00552
245	17337.7237
246	17320.74856
247	17299.38906
248	17259.15019
249	17223.08746
250	17195.0059
251	17174.54596
252	17143.30353
253	17092.4435
254	17055.31318
255	17035.83977
256	17006.39787
257	16974.69837
258	16951.80582
259	16933.6177
260	16899.69991
261	16856.08558
262	16823.34174
263	16798.54534
264	16771.83946
265	16752.05359
266	16723.08484
267	16686.81394
268	16654.63823
269	16621.6185
270	16593.0115
271	16557.97094
272	16540.811
273	16520.77747
274	16481.18371
275	16466.64151
276	16435.67406
277	16413.64466
278	16383.38497
279	16364.94018
280	16329.26968
281	16310.18806
282	16281.26904
283	16255.3682
284	16238.0772
285	16224.20814
286	16202.16956
287	16183.09168
288	16169.94376
289	16148.30047
290	16133.52778
291	16116.5514
292	16089.51919
293	16070.59804
294	16041.09568
295	16020.69289
296	16007.52163
297	15981.47681
298	15960.12651
299	15931.75984
300	15910.28667
301	15883.22103
302	15850.19253
303	15829.5479
304	15812.15579
305	15793.4793
306	15773.76504
307	15745.0768
308	15725.31879
309	15703.72988
310	15680.63927
311	15666.32665
312	15626.65444
313	15604.83221
314	15574.08731
315	15547.52002
316	15526.71276
317	15506.2398
318	15486.21196
319	15457.88547
320	15444.41396
321	15430.25833
322	15398.87483
323	15379.73689
324	15356.97798
325	15337.06225
326	15316.35788
327	15290.46682
328	15273.82545
329	15244.82241
330	15228.17929
331	15198.6528
332	15187.86739
333	15161.41822
334	15146.71941
335	15122.51093
336	15106.43452
337	15086.45573
338	15051.08178
339	15021.60669
340	15007.44214
341	14986.93259
342	14969.4343
343	14947.60461
344	14929.56656
345	14913.73026
346	14896.56358
347	14883.59649
348	14867.52304
349	14857.65964
350	14842.04754
351	14808.21039
352	14788.78654
353	14776.47564
354	14754.52765
355	14723.60139
356	14708.00378
357	14687.43584
358	14671.15822
359	14658.23755
360	14633.64892
361	14613.0919
362	14593.78885
363	14580.48639
364	14559.58786
365	14534.96705
366	14524.51375
367	14507.98396
368	14472.61484
369	14458.47318
370	14448.76734
371	14428.68002
372	14413.92199
373	14397.38782
374	14386.30745
375	14367.76476
376	14348.78858
377	14326.89184
378	14296.1559
379	14270.79893
380	14254.40612
381	14232.2581
382	14212.4951
383	14193.15699
384	14178.60462
385	14162.9723
386	14137.01063
387	14115.70373
388	14101.4407
389	14083.7195
390	14062.09411
391	14048.81694
392	14032.55016
393	14018.66209
394	13999.67699
395	13979.38296
396	13962.91629
397	13947.12521
398	13935.42983
399	13912.37174
400	13900.07164
401	13883.33448
402	13863.10278
403	13843.51753
404	13831.46184
405	13812.6075
406	13804.41434
407	13790.26325
408	13776.85339
409	13761.87097
410	13751.43875
411	13731.76036
412	13712.82791
413	13701.99687
414	13676.99688
415	13664.85781
416	13646.56786
417	13628.11706
418	13611.70982
419	13590.29058
420	13575.49343
421	13558.83856
422	13538.07995
423	13524.98269
424	13510.66034
425	13489.20409
426	13476.16476
427	13458.38538
428	13442.26387
429	13426.5676
430	13412.31686
431	13395.83187
432	13380.92225
433	13365.54219
434	13356.43097
435	13344.30509
436	13330.99075
437	13316.96701
438	13307.02122
439	13292.43112
440	13270.45682
441	13262.0102
442	13249.06782
443	13235.09681
444	13217.27236
445	13209.85367
446	13194.28913
447	13185.45104
448	13169.01764
449	13149.43517
450	13136.77696
451	13122.0999
452	13107.93742
453	13095.38976
454	13078.3038
455	13063.82523
456	13045.24527
457	13028.61227
458	13008.62989
459	12997.77299
460	12986.6839
461	12974.8225
462	12967.13035
463	12961.3723
464	12949.66026
465	12933.94784
466	12921.59058
467	12913.72596
468	12897.9289
469	12882.73599
470	12870.59299
471	12865.09048
472	12850.61281
473	12834.35175
474	12826.12549
475	12813.58142
476	12800.80443
477	12778.71739
478	12763.68579
479	12739.9189
480	12728.71981
481	12707.16335
482	12691.8555
483	12681.19541
484	12661.31622
485	12650.55219
486	12630.09161
487	12617.39699
488	12607.53535
489	12591.55539
490	12577.3248
491	12567.16662
492	12552.9574
493	12539.92547
494	12528.75028
495	12514.02888
496	12506.34175
497	12498.88231
498	12482.90979
499	12466.56071
500	12454.14577
501	12444.57206
502	12434.68108
503	12425.42992
504	12417.44518
505	12399.37567
506	12381.21588
507	12366.39601
508	12351.90504
509	12336.50923
510	12328.05319
511	12316.43815
512	12300.94368
513	12282.62294
514	12270.7146
515	12259.76625
516	12248.06214
517	12235.31738
518	12227.07349
519	12211.39195
520	12192.24694
521	12187.16719
522	12178.71318
523	12167.39135
524	12149.68651
525	12138.67351
526	12127.95331
527	12117.28337
528	12106.36007
529	12092.73893
530	12078.77127
531	12063.8594
532	12052.82872
533	12044.68622
534	12031.54366
535	12020.51789
536	12012.38467
537	12004.72421
538	12000.19042
539	11987.95099
540	11969.44213
541	11952.23197
542	11940.43988
543	11934.62842
544	11919.48829
545	11911.6486
546	11899.45926
547	11874.88418
548	11861.41746
549	11851.5072
550	11846.05699
551	11836.37667
552	11819.48674
553	11810.43673
554	11796.69335
555	11786.23857
556	11775.57911
557	11770.44188
558	11758.85086
559	11751.75132
560	11733.06514
561	11724.51436
562	11712.04735
563	11702.65446
564	11692.3781
565	11674.82359
566	11660.74586
567	11653.30136
568	11644.89195
569	11634.63955
570	11619.49052
571	11610.18465
572	11590.00275
573	11578.37665
574	11571.90253
575	11562.34574
576	11552.99832
577	11543.28996
578	11536.26016
579	11529.7135
580	11515.11263
581	11505.66377
582	11488.4062
583	11474.72769
584	11461.80545
585	11453.35444
586	11439.71111
587	11427.97607
588	11422.77774
589	11414.42079
590	11402.21467
591	11390.47184
592	11380.67493
593	11369.43493
594	11356.56151
595	11347.14813
596	11338.56752
597	11333.94384
598	11318.64313
599	11310.55644
