iter	Passed	Remaining
0	59	35718
1	62	18769
2	66	13314
3	70	10480
4	73	8767
5	76	7590
6	80	6813
7	83	6158
8	87	5723
9	89	5281
10	94	5070
11	96	4737
12	98	4450
13	100	4206
14	102	3991
15	104	3806
16	106	3644
17	108	3496
18	110	3364
19	111	3246
20	113	3130
21	114	3017
22	122	3064
23	125	3002
24	126	2920
25	128	2844
26	130	2773
27	133	2723
28	136	2685
29	138	2627
30	140	2573
31	142	2522
32	144	2485
33	146	2436
34	147	2382
35	153	2400
36	154	2345
37	154	2292
38	155	2242
39	156	2195
40	157	2151
41	158	2107
42	159	2070
43	160	2032
44	161	1994
45	162	1959
46	163	1924
47	164	1892
48	165	1859
49	167	1837
50	167	1807
51	168	1779
52	169	1752
53	170	1725
54	171	1701
55	172	1676
56	173	1652
57	174	1629
58	177	1626
59	178	1603
60	179	1586
61	180	1565
62	181	1546
63	182	1526
64	183	1507
65	185	1501
66	186	1487
67	188	1476
68	190	1466
69	192	1457
70	194	1449
71	195	1436
72	196	1421
73	198	1409
74	199	1393
75	200	1379
76	201	1369
77	202	1355
78	203	1342
79	204	1328
80	205	1313
81	205	1300
82	207	1292
83	208	1278
84	209	1269
85	210	1258
86	211	1246
87	213	1242
88	214	1234
89	216	1228
90	217	1218
91	218	1208
92	220	1203
93	221	1194
94	222	1185
95	223	1174
96	225	1166
97	226	1159
98	228	1153
99	229	1149
100	231	1144
101	233	1138
102	240	1158
103	240	1148
104	242	1141
105	243	1136
106	244	1127
107	245	1119
108	247	1115
109	249	1110
110	250	1104
111	251	1096
112	252	1088
113	253	1080
114	254	1073
115	255	1065
116	256	1057
117	257	1050
118	257	1042
119	258	1035
120	259	1027
121	260	1020
122	261	1014
123	262	1008
124	263	1001
125	264	995
126	265	989
127	267	985
128	268	978
129	269	972
130	270	967
131	271	961
132	272	955
133	273	949
134	273	943
135	274	937
136	275	932
137	276	926
138	277	920
139	278	914
140	279	910
141	280	905
142	281	899
143	282	893
144	283	888
145	284	883
146	284	878
147	285	872
148	286	867
149	287	862
150	288	856
151	289	851
152	290	847
153	290	842
154	291	838
155	292	833
156	293	828
157	294	824
158	295	819
159	297	816
160	298	812
161	299	808
162	299	804
163	300	799
164	302	796
165	302	791
166	303	787
167	304	782
168	305	778
169	306	775
170	308	773
171	310	771
172	311	769
173	313	766
174	313	762
175	314	758
176	315	754
177	316	750
178	317	746
179	318	742
180	319	738
181	319	734
182	320	730
183	321	727
184	322	723
185	323	719
186	324	715
187	325	712
188	326	709
189	326	705
190	328	702
191	329	699
192	330	696
193	332	694
194	332	691
195	333	687
196	334	684
197	335	681
198	336	677
199	337	674
200	338	671
201	338	667
202	339	664
203	340	661
204	342	659
205	342	655
206	343	652
207	344	649
208	345	646
209	346	644
210	348	641
211	348	638
212	349	635
213	350	632
214	351	629
215	352	626
216	353	623
217	354	620
218	355	617
219	355	614
220	356	611
221	357	609
222	359	607
223	360	604
224	360	601
225	361	598
226	362	595
227	363	593
228	364	590
229	365	587
230	365	584
231	366	582
232	367	579
233	368	576
234	369	574
235	371	572
236	372	571
237	373	568
238	374	566
239	375	563
240	376	560
241	377	558
242	378	555
243	379	553
244	380	550
245	380	548
246	381	545
247	382	543
248	383	541
249	384	538
250	385	536
251	386	534
252	387	532
253	388	529
254	389	527
255	390	524
256	391	522
257	392	520
258	393	517
259	394	515
260	395	513
261	396	511
262	397	508
263	397	506
264	398	504
265	399	501
266	400	499
267	401	497
268	402	494
269	402	492
270	403	489
271	404	487
272	405	485
273	413	491
274	414	489
275	414	486
276	415	484
277	418	484
278	419	482
279	419	479
280	420	477
281	421	475
282	422	473
283	423	471
284	424	469
285	425	467
286	426	465
287	428	464
288	429	461
289	430	460
290	431	457
291	432	455
292	433	453
293	433	451
294	434	449
295	436	448
